Prompt,Response,,,,,,,,,,,,,,,,
Who is the current Chief Justice of Bombay High Court and what is their retirement date?,"The current Chief Justice of Bombay High Court is Justice Devendra Kumar Upadhyaya, with a retirement date of 15/06/2027.",,,,,,,,,,,,,,,,
Which judge has the earliest retirement date?,Justice Vinay Gajanan Joshi has the earliest retirement date of 13/11/2024.,,,,,,,,,,,,,,,,
How many judges were appointed on 21/06/2013?,"Four judges were appointed on 21/06/2013: Justice Atul Sharachchandra Chandurkar, Justice Revati Prashant Mohite Dere, Justice Mahesh Sharadchandra Sonak, and Justice Ravindra Vithalrao Ghuge.",,,,,,,,,,,,,,,,
Who is the judge with the longest tenure until retirement?,Justice Milind Manohar Sathaye has the longest tenure until retirement on 05/09/2036.,,,,,,,,,,,,,,,,
Are there any judges transferred from the Bombay High Court?,"Yes, Justice Nitin Madhukar Jamdar is currently serving as the Chief Justice of Kerala, and Justice Shriram Kalpathi Rajendran is the Chief Justice of Madras.",,,,,,,,,,,,,,,,
Which judge was appointed as an Additional Judge on 05/06/2017 and comes from a service background?,Justice Mangesh Shivajirao Patil was appointed as an Additional Judge on 05/06/2017 and comes from a service background.,,,,,,,,,,,,,,,,
When is Justice Sandeep Vishnupant Marne expected to retire?,Justice Sandeep Vishnupant Marne is expected to retire on 08/12/2035.,,,,,,,,,,,,,,,,
Who are the newly appointed Additional Judges as of October 2024?,"The newly appointed Additional Judges as of October 2024 include Justice Nivedita Prakash Mehta, Justice Prafulla Surendrakumar Khubalkar, Justice Ashwin Damodar Bhobe, Justice Rohit Wasudeo Joshi, and Justice Advait Mahendra Sethna.",,,,,,,,,,,,,,,,
Which judge was appointed as a Permanent Judge on 25/01/2024?,Justice Abhay Ahuja was appointed as a Permanent Judge on 25/01/2024.,,,,,,,,,,,,,,,,
List of High Court judges in the Bombay Court.,"Justice Devendra Kumar Upadhyaya (Chief Justice), Justice Bhushan Pradyumna Dharmadhikari, Justice Nitin Jamdar, Justice Manish Pitale, Justice Sandeep K. Shinde, Justice Shahrukh A. Chouhan.",,,,,,,,,,,,,,,,
List of High Court Judges in Calcutta,"The Calcutta High Court currently has an approved judge strength of 72, with 54 permanent judges and 18 additional judges. Below is the list of judges arranged according to their date of initial appointment:Justice T.S. Sivagnanam (CJ), Justice Harish Tandon, Justice Soumen Sen, Justice Joymalya Bagchi, Justice Tapabrata Chakraborty, Justice Arijit Banerjee, Justice Debangsu Basak, Justice Madhuresh Prasad, Justice Rajasekhar Mantha, Justice Sabyasachi Bhattacharyya, Justice Rajarshi Bharadwaj, Justice Smt. Shampa Sarkar, Justice Ravi Krishan Kapur, Justice Arindam Mukherjee, Justice Biswajit Basu, Justice Smt. Amrita Sinha, Justice Jay Sengupta, Justice Smt. Suvra Ghosh, Justice Tirthankar Ghosh, Justice Hiranmay Bhattacharyya, Justice Saugata Bhattacharyya, Justice Kaushik Chanda, Justice Aniruddha Roy, Justice Sugato Majumdar, Justice Bivas Pattanayak, Justice Krishna Rao, Justice Bibhas Ranjan De, Justice Ajoy Kumar Mukherjee, Justice Gaurang Kanth, Justice Smt. Ananya Bandyopadhyay, Justice Smt. Rai Chattopadhyay, Justice Smt. Shampa Dutt (Paul), Justice Raja Basu Chowdhury.",,,,,,,,,,,,,,,,"Justice T.S. Sivagnanam (CJ), Justice Harish Tandon, Justice Soumen Sen, Justice Joymalya Bagchi, Justice Tapabrata Chakraborty, Justice Arijit Banerjee, Justice Debangsu Basak, Justice Madhuresh Prasad, Justice Rajasekhar Mantha, Justice Sabyasachi Bhattacharyya, Justice Rajarshi Bharadwaj, Justice Smt. Shampa Sarkar, Justice Ravi Krishan Kapur, Justice Arindam Mukherjee, Justice Biswajit Basu, Justice Smt. Amrita Sinha, Justice Jay Sengupta, Justice Smt. Suvra Ghosh, Justice Tirthankar Ghosh, Justice Hiranmay Bhattacharyya, Justice Saugata Bhattacharyya, Justice Kaushik Chanda, Justice Aniruddha Roy, Justice Sugato Majumdar, Justice Bivas Pattanayak, Justice Krishna Rao, Justice Bibhas Ranjan De, Justice Ajoy Kumar Mukherjee, Justice Gaurang Kanth, Justice Smt. Ananya Bandyopadhyay, Justice Smt. Rai Chattopadhyay, Justice Smt. Shampa Dutt (Paul), Justice Raja Basu Chowdhury."
What is the approved judge strength of the Chhattisgarh High Court?,"The approved judge strength is 22, with 17 permanent judges and 5 additional judges.",,,,,,,,,,,,,,,,
Who is the Chief Justice of the Chhattisgarh High Court and what is their date of retirement?,"Justice Ramesh Sinha is the Chief Justice, and he will retire on 04/09/2026.",,,,,,,,,,,,,,,,
When was Justice Goutam Bhaduri appointed as an additional judge?,Justice Goutam Bhaduri was appointed on 16/09/2013.,,,,,,,,,,,,,,,,
What is the retirement date for Justice Sanjay Kumar Agrawal?,Justice Sanjay Kumar Agrawal will retire on 14/07/2027.,,,,,,,,,,,,,,,,
When was Justice Parth Prateem Sahu appointed as a permanent judge?,Justice Parth Prateem Sahu was appointed on 11/05/2020.,,,,,,,,,,,,,,,,
Who are the judges transferred from the Chhattisgarh High Court?,"The transferred judges are Manindra Mohan Shrivastava, Puthichira Sam Koshy, and Arvind Singh Chandel.",,,,,,,,,,,,,,,,
What is the term expiry date for Justice Sachin Singh Rajput?,The term expiry date for Justice Sachin Singh Rajput is 17/05/2025.,,,,,,,,,,,,,,,,
Who was appointed as an additional judge on 13/08/2024?,Justice Bibhu Datta Guru was appointed as an additional judge on 13/08/2024.,,,,,,,,,,,,,,,,
What is the retirement date for Justice Amitendra Kishore Prasad?,Justice Amitendra Kishore Prasad will retire on 12/08/2026.,,,,,,,,,,,,,,,,
What is the approved judge strength of Chhattisgarh High Court?,"The approved judge strength is 22 (Permanent: 17, Additional: 5).",,,,,,,,,,,,,,,,
What is the list of High Court judges in Chhattisgarh?,"The judges are: Justice Ramesh Sinha (CJ), Justice Goutam Bhaduri, Justice Sanjay Kumar Agrawal, Justice Sanjay Agrawal, Justice Parth Prateem Sahu, Justice Smt. Rajani Dubey, Justice Narendra Kumar Vyas, Justice Naresh Kumar Chandravanshi, Justice Deepak Kumar Tiwari, Justice Rakesh Mohan Pandey.",,,,,,,,,,,,,,,,
List of judges in Uttarakhand High Court,"The Approved Judge Strength of the Uttarakhand High Court is 11 [Pmt.: 09, Addl.: 02]. The list of judges arranged according to the date of initial appointment includes MANOJ KUMAR TIWARI (BAR) - appointed on 19/05/2017, Pmt. Judge until 18/09/2027, ACJ w.e.f. 11/10/2024; RAVINDRA MAITHANI (SERVICE) - appointed on 03/12/2018, Pmt. Judge until 24/06/2027; ALOK KUMAR VERMA (SERVICE) - appointed on 27/05/2019, Pmt. Judge until 25/05/2021, with retirement on 15/08/2026; RAKESH THAPLIYAL (BAR) - appointed on 28/04/2023, Pmt. Judge until 14/11/2027; PANKAJ PUROHIT (BAR) - appointed on 28/04/2023, Pmt. Judge until 27/07/2030; and VIVEK BHARTI SHARMA (SERVICE) - appointed on 28/04/2023, Pmt. Judge until 12/06/2025.",,,,,,,,,,,,,,,,
 list of judges for the High Court in Telangana ,"The Approved Judge Strength for the High Court for the State of Telangana is 42 [Pmt.: 32, Addl.: 10]. The list of judges arranged according to the date of initial appointment includes ALO K ARADHE (BAR) - appointed on 29/12/2009, Pmt. Judge until 12/04/2026, CJ w.e.f. 23/07/2023; SUJOY PAUL (BAR) - appointed on 27/05/2011, Pmt. Judge until 20/06/2026; PUTHICHIRA SAM KOSHY (BAR) - appointed on 16/09/2013, Pmt. Judge until 29/04/2029; ABHINAND KUMAR SHAVILI (BAR) - appointed on 21/09/2017, Pmt. Judge until 07/10/2025; SMT. MOUSHUMI BHATTACHARYA (BAR) - appointed on 21/09/2017, Pmt. Judge until 26/10/2029; TADAKAMALLA VINOD KUMAR (BAR) - appointed on 26/08/2019, Pmt. Judge until 16/11/2026; KUNURU LAKSHMAN (BAR) - appointed on 26/08/2019, Pmt. Judge until 07/06/2028; BOLLAMPALLY VIJAYSEN REDDY (BAR) - appointed on 02/05/2020, Pmt. Judge until 21/08/2032; SMT. PERUGU SREE SUDHA (SERVICE) - appointed on 15/10/2021, Pmt. Judge until 05/06/2029; DR. (SMT.) GURIJALA RADHA RANI (SERVICE) - appointed on 15/10/2021, Pmt. Judge until 28/06/2025; NOONSAVATH TUKARAMJI (SERVICE) - appointed on 15/10/2021, Pmt. Judge until 23/02/2035; SMT. TANGIRALA MADHAVI DEVI (BAR) - appointed on 15/10/2021, Pmt. Judge until 27/12/2027; KASOJU SURENDHAR @ K. SURENDER (BAR) - appointed on 24/03/2022, Pmt. Judge until 10/01/2030; SMT. SUREPALLI NANDA (BAR) - appointed on 24/03/2022, Pmt. Judge until 03/04/2031; SMT. JUVVADI SRIDEVI @ KUCHADI SRIDEVI (BAR) - appointed on 24/03/2022, Pmt. Judge until 09/08/2034; NATCHARAJU SHRAVAN KUMAR VENKAT (BAR) - appointed on 24/03/2022, Pmt. Judge until 17/08/2029; SMT. MATURI GIRIJA PRIYADAARSINI @ PRIYADARHINI (SERVICE) - appointed on 24/03/2022, Pmt. Judge until 29/08/2026; C.V. BHASKAR REDYY (BAR) - appointed on 04/08/2022, Pmt. Judge until 27/06/2030; VENKATA VENUGOPAL ENUGULA @ E.V. VENUGOPAL (BAR) - appointed on 16/08/2022, Pmt. Judge until 15/08/2029; NAGESH BHEEMAPAKA (BAR) - appointed on 16/08/2022, Pmt. Judge until 07/03/2031; KARTHIK PULLA (BAR) - appointed on 16/08/2022, Pmt. Judge until 03/06/2029; SARATH KAJA (BAR) - appointed on 16/08/2022, Pmt. Judge until 28/01/2033; JAGGANNAGARI SREENIVAS RAO @ J. SRINIVAS RAO (BAR) - appointed on 16/08/2022, Pmt. Judge until 30/04/2024, retirement on 30/08/2031; NAMAVARAPU RAJESHWAR RAO (BAR) - appointed on 16/08/2022, Pmt. Judge until 30/04/2024, retirement on 29/06/2031. Additional judges transferred from the High Court for the State of Telangana include LAXMINARAYANA ALISHETTY (BAR), appointed on 31/07/2023, expiry on 30/07/2025; ANIL KUMAR JUKANTI (BAR), appointed on 31/07/2023, expiry on 30/07/2025; SMT. SUJANA KALASIKAM (SERVICE), appointed on 31/07/2023, expiry on 30/07/2025; and judges transferred from the High Court for the State of Telangana include M.S.SRI RAMACHANDRA RAO (BAR), appointed on 29/06/2012, Pmt. Judge until 06/08/2028; TODUPUNURI AMARNATH GOUD (BAR), appointed on 21/09/2017, expiry on 28/02/2027; ANNIREDDY ABHISHEK REDDY (BAR), appointed on 26/08/2019, expiry on 06/11/2029; MUNNURI LAXMAN (SERVICE), appointed on 15/10/2021, expiry on 23/12/2027; DR. (SMT.) CHILLAKUR SUMALATHA (SERVICE), appointed on 15/10/2021, expiry on 04/02/2034; SMT. GUNNU ANUPAMA CHAKRAVARTHY (SERVICE), appointed on 24/03/2022, expiry on 20/03/2032; MUMMINENI SUDHEER KUMAR (BAR), appointed on 24/03/2022, expiry on 19/05/2031.",,,,,,,,,,,,,,,,
